Repository,Type,#,User,Title,State,Created,Updated,URL
python/cpython,PR,17748,nmassman,bpo-22593: Automate update of Unicode data version in documentation,open,12/30/19 06:57:23,12/31/19 06:03:58,https://github.com/python/cpython/pull/17748
python/cpython,PR,17747,tonybaloney,"bpo-39160 Align the verbs, grammar and defaults for `./configure --help`",open,12/30/19 06:52:16,12/31/19 00:09:45,https://github.com/python/cpython/pull/17747
python/cpython,PR,17742,rhettinger,bpo-39158: ast.literal_eval() doesn't support empty sets,open,12/30/19 00:48:25,12/30/19 00:48:30,https://github.com/python/cpython/pull/17742
python/cpython,PR,17736,GreatBahram,Uses the io.DEFAULT_BUFFER_SIZE variable instead of defining it again,open,12/29/19 17:57:20,12/31/19 15:33:18,https://github.com/python/cpython/pull/17736
python/cpython,PR,17735,apalala,[issue39165][bpo-39165][Lib/re] implement findalliter() and findfirst(),open,12/29/19 16:52:50,12/30/19 17:48:54,https://github.com/python/cpython/pull/17735
python/cpython,PR,17733,pablogsal,bpo-39151: Simplify dfs in the assembler,open,12/29/19 08:49:03,12/29/19 09:03:11,https://github.com/python/cpython/pull/17733
python/cpython,PR,17729,sweeneyde,bpo-38938: Adjusting the heapq.merge algorithm for fewer comparisons,open,12/28/19 13:18:48,12/30/19 18:31:06,https://github.com/python/cpython/pull/17729
python/cpython,PR,17728,haoren3696,[2.7] bpo-39146: Fix memory consumption in re.compile unicode,open,12/28/19 12:29:33,12/30/19 12:32:15,https://github.com/python/cpython/pull/17728
python/cpython,PR,17726,ZackerySpytz,bpo-19083: IDNA prefix should be case insensitive,open,12/28/19 09:58:07,12/29/19 23:27:01,https://github.com/python/cpython/pull/17726
python/cpython,PR,17724,pablogsal,Do not fail the coverage test if fail to update results,open,12/28/19 05:38:29,12/29/19 09:59:33,https://github.com/python/cpython/pull/17724
python/cpython,PR,17717,czardoz,bpo-39082: Fix: AsyncMock is unable to correctly patch static/class methods,open,12/27/19 23:31:17,12/27/19 23:31:23,https://github.com/python/cpython/pull/17717
python/cpython,PR,17716,uranusjr,bpo-38671: Make sure to return an absolute path in pathlib._WindowsFlavour.resolve(),open,12/27/19 21:53:53,12/28/19 13:37:10,https://github.com/python/cpython/pull/17716
python/cpython,PR,17715,isidentical,bpo-38131: Improve messages when generating AST nodes from objects wi…,open,12/27/19 19:24:03,12/27/19 19:24:09,https://github.com/python/cpython/pull/17715
python/cpython,PR,17714,evandrocoan,bpo-33165: Remove redundant stack unwind for findCaller(),open,12/27/19 17:15:10,12/27/19 17:15:17,https://github.com/python/cpython/pull/17714
python/cpython,PR,17710,nmassman,Fixed incorrect unicodedata version in lexical_analysis.rst footnote,open,12/27/19 05:42:48,12/30/19 06:59:13,https://github.com/python/cpython/pull/17710
python/cpython,PR,17707,khalidmammadov,bpo-39139: To be clear what depreciation relates to i.e Collections ABS,open,12/26/19 23:33:55,12/27/19 01:00:48,https://github.com/python/cpython/pull/17707
python/cpython,PR,17706,tirkarthi,Fix host datatype in addr of socket.create_server example.,open,12/26/19 20:03:26,12/26/19 20:03:30,https://github.com/python/cpython/pull/17706
python/cpython,PR,17695,jap,bpo-39131 email: add easier support for generating multipart/signed messages,open,12/24/19 18:25:49,12/27/19 15:39:21,https://github.com/python/cpython/pull/17695
python/cpython,PR,17694,khalidmammadov,bpo-39130: Dict reversed was added in v3.8 so should say in the doc as well,open,12/24/19 16:34:19,12/25/19 15:42:35,https://github.com/python/cpython/pull/17694
python/cpython,PR,17692,cs-shadow,Fix link to bpo issue in Changelog,open,12/24/19 13:20:56,12/31/19 15:17:11,https://github.com/python/cpython/pull/17692
python/cpython,PR,17690,petdance,bpo-39127: Make _Py_HashPointer's argument be const,open,12/24/19 08:01:38,12/30/19 03:56:09,https://github.com/python/cpython/pull/17690
python/cpython,PR,17689,DerekTBrown,[easy] Move _releaseLock() into `finally`,open,12/24/19 04:12:00,12/31/19 15:36:59,https://github.com/python/cpython/pull/17689
python/cpython,PR,17688,cool-RR,pathlib: Add exist_ok argument to write_text and write_bytes,open,12/24/19 01:05:57,12/24/19 03:08:51,https://github.com/python/cpython/pull/17688
python/cpython,PR,17683,methane,bpo-39087: Make PyUnicode_AsUTF8AndSize faster.,open,12/23/19 14:56:14,12/25/19 11:39:40,https://github.com/python/cpython/pull/17683
python/cpython,PR,17682,wungad,bpo-39121: write gzip header OS information,open,12/23/19 03:49:47,12/27/19 15:13:13,https://github.com/python/cpython/pull/17682
python/cpython,PR,17671,choyos,"bpo-31711: On SSLObject.write method, added assert that data has content. ",open,12/20/19 14:34:46,12/24/19 03:33:14,https://github.com/python/cpython/pull/17671
python/cpython,PR,17670,tomMoral,bpo-39104 Fix hanging ProcessPoolExcutor on shutdown nowait with pickling failure,open,12/20/19 09:54:21,12/20/19 12:08:26,https://github.com/python/cpython/pull/17670
python/cpython,PR,17669,MrMrRobat,bpo-39102: Increase Enum performance up to 10x times (3x average),open,12/20/19 06:01:56,12/25/19 20:23:42,https://github.com/python/cpython/pull/17669
python/cpython,PR,17666,caporta,bpo-38971: open file in codecs.open() closes if exception raised,open,12/20/19 01:31:12,12/28/19 02:41:46,https://github.com/python/cpython/pull/17666
python/cpython,PR,17664,giampaolo,bpo-39099: add scandir.dirfd(),open,12/19/19 21:29:54,12/22/19 09:32:00,https://github.com/python/cpython/pull/17664
python/cpython,PR,17662,isidentical,bpo-32888: improve wording for ast.literal_eval error messages,open,12/19/19 18:26:57,12/19/19 18:27:04,https://github.com/python/cpython/pull/17662
python/cpython,PR,17659,methane,bpo-39087: Add PyUnicode_GetUTF8Buffer().,open,12/19/19 15:36:20,12/25/19 13:46:02,https://github.com/python/cpython/pull/17659
python/cpython,PR,17658,coolreader18,bpo-39091: Fix segfault when Exception constructor returns non-exception for gen.throw,open,12/19/19 08:08:20,12/23/19 17:44:34,https://github.com/python/cpython/pull/17658
python/cpython,PR,17657,yoniLavi,bpo-39094: Add a default to statistics.mean and related functions,open,12/19/19 06:10:36,12/19/19 10:54:03,https://github.com/python/cpython/pull/17657
python/cpython,PR,17651,corona10,bpo-24416: [DO NOT MERGE] Return a namedtuple from date.isocalendar() with structseq version,open,12/18/19 13:13:20,12/18/19 13:13:44,https://github.com/python/cpython/pull/17651
python/cpython,PR,17648,clintonroy,make it clear that memfd_create() is linux specific.,open,12/18/19 02:12:50,12/18/19 11:50:12,https://github.com/python/cpython/pull/17648
python/cpython,PR,17646,jendrikseipp,bpo-13601: always use line-buffering for sys.stderr,open,12/18/19 01:12:03,12/22/19 01:52:27,https://github.com/python/cpython/pull/17646
python/cpython,PR,17643,jkamdjou,fix bug where match variable is used prior to being defined,open,12/17/19 22:23:28,12/31/19 15:20:44,https://github.com/python/cpython/pull/17643
python/cpython,PR,17642,tirkarthi,[3.8] bpo-39033: Fix NameError in zipimport during hash validation (GH-17588),open,12/17/19 19:34:17,12/23/19 17:23:26,https://github.com/python/cpython/pull/17642
python/cpython,PR,17640,vstinner,[WIP] bpo-38546: Add support.get_child_processes(),open,12/17/19 16:35:57,12/18/19 10:08:18,https://github.com/python/cpython/pull/17640
python/cpython,PR,17635,toddrjen,[WIP] Use BSD0 license for code in docs,open,12/17/19 06:24:35,12/22/19 18:23:51,https://github.com/python/cpython/pull/17635
python/cpython,PR,17634,ZackerySpytz,bpo-31046: ensurepip does not honour the value of $(prefix),open,12/17/19 04:26:36,12/17/19 04:26:41,https://github.com/python/cpython/pull/17634
python/cpython,PR,17627,drmonkeysee,bpo-39068 guard _b85chars2 initialization,open,12/16/19 20:49:14,12/17/19 03:11:33,https://github.com/python/cpython/pull/17627
python/cpython,PR,17623,methane,[3.5] bpo-39035: travis: Update image to xenial,open,12/16/19 10:31:10,12/16/19 10:36:56,https://github.com/python/cpython/pull/17623
python/cpython,PR,17621,rhettinger,bpo-39058:  Preserve attribute order in the repr for argparse.Namespace(),open,12/16/19 06:23:10,12/18/19 17:19:12,https://github.com/python/cpython/pull/17621
python/cpython,PR,17620,maxking,bpo-39040: Fix parsing of email mime headers with whitespace between encoded-words.,open,12/16/19 05:51:29,12/24/19 22:38:36,https://github.com/python/cpython/pull/17620
python/cpython,PR,17619,serhiy-storchaka,bpo-39057: Fix urllib.request.proxy_bypass_environment().,open,12/15/19 22:49:35,12/15/19 22:49:40,https://github.com/python/cpython/pull/17619
python/cpython,PR,17618,serhiy-storchaka,bpo-39056: Fix handling invalid warning category in the -W option.,open,12/15/19 22:07:05,12/15/19 22:07:10,https://github.com/python/cpython/pull/17618
python/cpython,PR,17616,serhiy-storchaka,bpo-39055: Reject a trailing \n in base64.b64decode() with validate=True.,open,12/15/19 20:26:50,12/15/19 20:26:54,https://github.com/python/cpython/pull/17616
python/cpython,PR,17614,ZackerySpytz,"bpo-36595: IDLE: Add search to the ""Squeezed Output Viewer""",open,12/15/19 18:35:55,12/15/19 18:36:00,https://github.com/python/cpython/pull/17614
python/cpython,PR,17611,ZackerySpytz,bpo-39050: The Help button in IDLE's config menu does not work,open,12/15/19 01:06:53,12/18/19 09:25:14,https://github.com/python/cpython/pull/17611
python/cpython,PR,17610,moff4,"[bpo-39049] Add ""elif"" to ""for_stmt"" and ""while_stmt""",open,12/14/19 23:35:42,12/15/19 13:11:47,https://github.com/python/cpython/pull/17610
python/cpython,PR,17609,maggyero,bpo-39048: Reorder the __aenter__ and __aexit__ method checks for the async with statement,open,12/14/19 22:47:04,12/31/19 07:49:53,https://github.com/python/cpython/pull/17609
python/cpython,PR,17607,attilajeges,bpo-39047: Skip chflags UF_IMMUTABLE tests if EOPNOTSUPP is raised. (GH-17607),open,12/14/19 20:14:27,12/18/19 00:38:41,https://github.com/python/cpython/pull/17607
python/cpython,PR,17606,mariocj89,bpo-21600: Fix `mock.patch.dict` to be stopped with `mock.patch.stopall`,open,12/14/19 17:42:32,12/14/19 18:29:45,https://github.com/python/cpython/pull/17606
python/cpython,PR,17593,ZackerySpytz,"bpo-13586: IDLE: Enter the selected text when opening the ""Replace"" dialog",open,12/13/19 22:28:48,12/13/19 22:28:54,https://github.com/python/cpython/pull/17593
python/cpython,PR,17578,ZackerySpytz,bpo-6699: IDLE: Warn the user if a file will be overwritten when saving,open,12/12/19 13:19:52,12/12/19 13:19:58,https://github.com/python/cpython/pull/17578
python/cpython,PR,17575,LewisGaul,bpo-36225: Finalise subinterpreters in Py_FinalizeEx(),open,12/11/19 19:55:38,12/30/19 08:15:49,https://github.com/python/cpython/pull/17575
python/cpython,PR,17573,encukou,bpo-28866: Add regression test,open,12/11/19 15:31:17,12/11/19 15:39:57,https://github.com/python/cpython/pull/17573
python/cpython,PR,17563,isidentical,bpo-39019: Implement missing __class_getitem__ for http.cookies.Morsel,open,12/10/19 21:28:51,12/27/19 22:49:43,https://github.com/python/cpython/pull/17563
python/cpython,PR,17561,isidentical,bpo-39019: Implement missing __class_getitem__ for os.DirEntry,open,12/10/19 21:24:23,12/27/19 19:51:42,https://github.com/python/cpython/pull/17561
python/cpython,PR,17553,jneb,bpo-24925: _find_lineno now finds doctest __test__ string line numbers,open,12/10/19 15:37:49,12/13/19 16:49:50,https://github.com/python/cpython/pull/17553
python/cpython,PR,17536,hpjansson,bpo-36982: Add support for extended color functions in ncurses 6.1,open,12/09/19 19:59:29,12/10/19 16:15:00,https://github.com/python/cpython/pull/17536
python/cpython,PR,17533,asvetlov,bpo-34793: Drop old-style context managers in asyncio.locks,open,12/09/19 18:31:38,12/10/19 15:15:49,https://github.com/python/cpython/pull/17533
python/cpython,PR,17518,arigo,bpo-38091: Import deadlock detection causes deadlock,open,12/09/19 13:27:16,12/23/19 21:43:09,https://github.com/python/cpython/pull/17518
python/cpython,PR,17508,maggyero,Update lexical_analysis.rst,open,12/08/19 16:01:20,12/08/19 16:01:24,https://github.com/python/cpython/pull/17508
python/cpython,PR,17502,maggyero,Update string.rst,open,12/08/19 01:51:14,12/08/19 01:51:18,https://github.com/python/cpython/pull/17502
python/cpython,PR,17501,Carreau,bpo-38981: Rename re.error to re.ReCompileError for better readability.,open,12/08/19 00:29:29,12/10/19 00:52:31,https://github.com/python/cpython/pull/17501
python/cpython,PR,17478,iustin,Parsing: all of s/y/z take a Py_ssize_t,open,12/05/19 23:37:32,12/05/19 23:37:37,https://github.com/python/cpython/pull/17478
python/cpython,PR,17473,hroncok,bpo-38439: Add 256px IDLE icon,open,12/05/19 16:22:05,12/27/19 19:30:33,https://github.com/python/cpython/pull/17473
python/cpython,PR,17471,jacobneiltaylor,bpo-38976: Add support for HTTP Only flag in MozillaCookieJar,open,12/05/19 08:14:24,12/15/19 15:58:07,https://github.com/python/cpython/pull/17471
python/cpython,PR,17470,bmispelon,bpo-38975: Add dedicated anchor for regexp syntax elements,open,12/05/19 00:13:15,12/05/19 00:16:17,https://github.com/python/cpython/pull/17470
python/cpython,PR,17451,dcarlier-afilias,bpo-38960: DTrace build fix for FreeBSD.,open,12/03/19 19:38:22,12/20/19 22:04:58,https://github.com/python/cpython/pull/17451
python/cpython,PR,17449,PCManticore,bpo-38572: Raise an unsupported error when an underlying stream does not support fileno(),open,12/03/19 14:04:47,12/03/19 22:43:53,https://github.com/python/cpython/pull/17449
python/cpython,PR,17448,eduardo-elizondo,[WIP][DO NOT REVIEW] Add pyc filepath to co_filename,open,12/03/19 12:09:24,12/03/19 12:09:28,https://github.com/python/cpython/pull/17448
python/cpython,PR,17447,michiboo,bpo-38956: remove default option from help string in argparse,open,12/03/19 10:05:09,12/10/19 13:58:59,https://github.com/python/cpython/pull/17447
python/cpython,PR,17445,ned-deily,[3.5] bpo-38945: UU Encoding: Don't let newline in filename corrupt the output format (GH-17418),open,12/03/19 03:50:12,12/08/19 05:52:12,https://github.com/python/cpython/pull/17445
python/cpython,PR,17441,PCManticore,bpo-36470: Allow dataclasses.replace() to work InitVar with default values,open,12/02/19 23:17:35,12/08/19 15:40:51,https://github.com/python/cpython/pull/17441
python/cpython,PR,17435,kinow,bpo-35981: apply os.path.abspath only to basedir (for windows),open,12/02/19 06:16:26,12/03/19 10:31:30,https://github.com/python/cpython/pull/17435
python/cpython,PR,17434,vegerot,bpo-38952: support new Python3 IPv4Address,open,12/02/19 04:08:47,12/04/19 01:33:07,https://github.com/python/cpython/pull/17434
python/cpython,PR,17426,isidentical,bpo-32894: Support unparsing of infinity numbers in ast_unparser.c,open,12/01/19 21:38:25,12/27/19 19:41:09,https://github.com/python/cpython/pull/17426
python/cpython,PR,17425,Itayazolay,bpo-31821: Fixing pause_reading called in connection made is ignored,open,12/01/19 15:54:21,12/15/19 16:06:00,https://github.com/python/cpython/pull/17425
python/cpython,PR,17422,sweeneyde,bpo-38938: Added special case to heapq.merge for small numbers of iterables,open,12/01/19 06:05:23,12/28/19 13:27:04,https://github.com/python/cpython/pull/17422
python/cpython,PR,17415,ZackerySpytz,bpo-38942: Fix possible assertion failures in csv.Dialect(),open,11/29/19 23:23:18,11/30/19 09:28:36,https://github.com/python/cpython/pull/17415
python/cpython,PR,17414,chrisjbillington,bpo-38937: exec lines from .pth files in a copy of the site.py globals,open,11/28/19 23:13:10,11/30/19 14:11:43,https://github.com/python/cpython/pull/17414
python/cpython,PR,17413,sir-sigurd,bpo-37347: Require SQLite 3.7.3+,open,11/28/19 18:42:17,12/11/19 04:11:24,https://github.com/python/cpython/pull/17413
python/cpython,PR,17409,vegarsti,bpo-38932: Make Mock.reset_mock() pass return_value and side_effect values to reset_mock on child mock objects,open,11/27/19 23:55:13,12/02/19 15:41:39,https://github.com/python/cpython/pull/17409
python/cpython,PR,17399,SarahPythonista,Fix error in argparse documentation example,open,11/27/19 10:31:18,12/13/19 05:13:22,https://github.com/python/cpython/pull/17399
python/cpython,PR,17398,hetmankp,bpo-38715: Fix compileall.compile_dir() ddir regression,open,11/27/19 08:03:09,11/27/19 08:24:25,https://github.com/python/cpython/pull/17398
python/cpython,PR,17385,pdonis,bpo-1812: Fix newline conversion when doctest.testfile loads from a package whose loader has a get_data method.,open,11/26/19 03:41:19,11/26/19 05:47:45,https://github.com/python/cpython/pull/17385
python/cpython,PR,17378,zkonge,bpo-38907: Add IPv6 Dual-Stack control for http.server,open,11/25/19 19:47:50,11/25/19 19:48:21,https://github.com/python/cpython/pull/17378
python/cpython,PR,17377,isidentical,bpo-38870: Implement Simple Preceding to AST Unparser,open,11/25/19 17:25:51,12/29/19 23:29:03,https://github.com/python/cpython/pull/17377
python/cpython,PR,17375,shanavas786,Mention nonlocal too in assignment quirk,open,11/25/19 12:02:34,11/26/19 08:32:12,https://github.com/python/cpython/pull/17375
python/cpython,PR,17374,PCManticore,bpo-38854: Adjust ``inspect.getsource`` to properly extract source for decorated functions,open,11/25/19 11:50:09,12/08/19 15:41:31,https://github.com/python/cpython/pull/17374
python/cpython,PR,17369,iustin,argparse: improve mutually exclusive groups,open,11/24/19 18:55:20,11/26/19 23:24:40,https://github.com/python/cpython/pull/17369
python/cpython,PR,17365,eamanu,bpo-38903: Remove #if block that is not used on parsetok.c,open,11/24/19 03:59:12,11/26/19 03:27:31,https://github.com/python/cpython/pull/17365
python/cpython,PR,17360,mgraczyk,bpo-25872: Fix KeyError in linecache when multithreaded,open,11/23/19 05:07:20,12/06/19 23:54:19,https://github.com/python/cpython/pull/17360
python/cpython,PR,17352,vstinner,bpo-38500: Add PyInterpreterState_SetEvalFrameFunc(),open,11/22/19 21:06:21,11/24/19 18:55:04,https://github.com/python/cpython/pull/17352
python/cpython,PR,17344,vstinner,[3.5] bpo-38804: Fix REDoS in http.cookiejar (GH-17157),open,11/22/19 17:31:16,12/19/19 11:51:36,https://github.com/python/cpython/pull/17344
python/cpython,PR,17340,vstinner,bpo-38500: Add PyInterpreterState_SetEvalFrameFunc(),open,11/22/19 16:05:39,11/23/19 02:40:06,https://github.com/python/cpython/pull/17340
python/cpython,PR,17333,blueyed,[WIP/RFC] multiprocessing: proxy: keep _manager after forking,open,11/22/19 07:38:45,11/24/19 22:40:25,https://github.com/python/cpython/pull/17333
python/cpython,PR,17327,raphaeldussin,bpo-38886: add option to zipfile.writestr to open permissions,open,11/21/19 23:05:27,11/23/19 00:32:31,https://github.com/python/cpython/pull/17327
python/cpython,PR,17326,plokmijnuhby,bpo-38721: Add support for import hooks in modulefinder,open,11/21/19 22:55:37,11/22/19 01:13:34,https://github.com/python/cpython/pull/17326
python/cpython,PR,17323,LewisGaul,bpo-38880: List interpreters associated with a channel end,open,11/21/19 19:26:53,12/21/19 00:46:03,https://github.com/python/cpython/pull/17323
python/cpython,PR,17322,EpicWink,bpo-36077: Update handling of defaulted fields,open,11/21/19 18:36:56,12/10/19 03:49:09,https://github.com/python/cpython/pull/17322
python/cpython,PR,17298,brandtbucher,bpo-38823: Add a private _PyModule_StealObject API.,open,11/20/19 21:44:42,12/06/19 02:15:30,https://github.com/python/cpython/pull/17298
python/cpython,PR,17291,jacksonriley,bpo-34716: Change MagicMock().__divmod__ to return a pair of MagicMock instances,open,11/20/19 17:47:43,12/11/19 16:49:57,https://github.com/python/cpython/pull/17291
python/cpython,PR,17278,jacksonriley,bpo-17306: Add class-level docstrings to collections.abc,open,11/20/19 12:36:02,12/11/19 12:54:11,https://github.com/python/cpython/pull/17278
python/cpython,PR,17276,brandtbucher,bpo-38823: Clean up refleaks in _ast initialization.,open,11/20/19 11:00:06,12/05/19 18:04:35,https://github.com/python/cpython/pull/17276
python/cpython,PR,17255,worldmind,Add return value type of import functions to docs,open,11/19/19 14:27:07,11/29/19 22:25:44,https://github.com/python/cpython/pull/17255
python/cpython,PR,17254,PCManticore,bpo-36424: Add support for pickling and unpickling frozen dataclasses,open,11/19/19 12:27:13,11/29/19 20:44:05,https://github.com/python/cpython/pull/17254
python/cpython,PR,17203,corona10,bpo-38615: Add timeout parameter for IMAP4 and IMAP4_SSL constructor,open,11/17/19 11:47:03,12/16/19 09:39:43,https://github.com/python/cpython/pull/17203
python/cpython,PR,17201,ZackerySpytz,bpo-33046: An IDLE option to strip trailing whitespace on save,open,11/17/19 09:56:21,11/18/19 09:34:39,https://github.com/python/cpython/pull/17201
python/cpython,PR,17187,vstinner,bpo-38818: PyInterpreterState.eval_frame now pass tstate,open,11/16/19 03:18:24,11/23/19 02:44:48,https://github.com/python/cpython/pull/17187
python/cpython,PR,17172,isidentical,bpo-3530: Use fix_missing_locations when node transformer adds nodes,open,11/15/19 18:14:42,11/17/19 11:53:32,https://github.com/python/cpython/pull/17172
python/cpython,PR,17169,DjMorgul,Allow translating argument error messages,open,11/15/19 14:56:08,11/18/19 18:28:24,https://github.com/python/cpython/pull/17169
python/cpython,PR,17165,taleinat,minor formatting improvements and fixes to idle.rst,open,11/15/19 10:36:11,11/15/19 10:36:24,https://github.com/python/cpython/pull/17165
python/cpython,PR,17163,ZackerySpytz,bpo-23544: IDLE hangs when selecting Stack Viewer with debug active,open,11/15/19 09:42:50,11/15/19 10:48:45,https://github.com/python/cpython/pull/17163
python/cpython,PR,17159,blueyed,[WIP] bpo-38806: bdb: stop_here: always stop at calling frame,open,11/15/19 03:29:13,11/15/19 23:55:28,https://github.com/python/cpython/pull/17159
python/cpython,PR,17156,nosahama,Added link to zlib v1.1.3 vulnerability,open,11/15/19 01:39:32,11/19/19 13:26:09,https://github.com/python/cpython/pull/17156
python/cpython,PR,17155,deiuch,Reuse identifier of PREDICT macros as PREDICT_ID,open,11/14/19 19:51:12,11/14/19 22:40:49,https://github.com/python/cpython/pull/17155
python/cpython,PR,17153,luv,bpo-38794:  setup: support linking openssl statically,open,11/14/19 15:35:15,11/15/19 19:39:12,https://github.com/python/cpython/pull/17153
python/cpython,PR,17152,taleinat,bpo-38689: avoid IDLE hanging when calltip fails getting a signature,open,11/14/19 13:52:47,11/14/19 13:59:54,https://github.com/python/cpython/pull/17152
python/cpython,PR,17150,ZackerySpytz,bpo-38792: IDLE calltips may not properly close on KeyboardInterrupt,open,11/14/19 09:53:17,11/14/19 13:17:18,https://github.com/python/cpython/pull/17150
python/cpython,PR,17145,Dormouse759, [PEP 573] bpo-38787: Module State Access from C Extension Methods,open,11/13/19 17:34:08,11/19/19 18:25:19,https://github.com/python/cpython/pull/17145
python/cpython,PR,17134,gvsheva,bpo-38731: add quiet mode for py_compile main,open,11/13/19 01:02:41,12/28/19 07:10:30,https://github.com/python/cpython/pull/17134
python/cpython,PR,17133,Kentzo,bpo-17013: Extend Mock.called to allow waiting for calls,open,11/13/19 01:02:32,11/17/19 15:10:51,https://github.com/python/cpython/pull/17133
python/cpython,PR,17129,jsnklln,bpo-38741: Definition of multiple ']' in header configparser,open,11/12/19 21:47:50,12/04/19 05:59:17,https://github.com/python/cpython/pull/17129
python/cpython,PR,17124,alclarks,bpo-15243: Specify __prepare__ should be a classmethod,open,11/12/19 17:59:56,11/20/19 20:14:49,https://github.com/python/cpython/pull/17124
python/cpython,PR,17120,alclarks,bpo-9495: argparse unittest tracebacks are confusing if an error is raised when not expected,open,11/12/19 14:53:48,11/20/19 20:11:11,https://github.com/python/cpython/pull/17120
python/cpython,PR,17116,toywei,Update _threadmodule.c,open,11/12/19 13:02:44,11/12/19 20:21:27,https://github.com/python/cpython/pull/17116
python/cpython,PR,17107,ZackerySpytz,bpo-17642: Add hotkeys to resize IDLE's font,open,11/11/19 09:57:52,11/17/19 14:41:15,https://github.com/python/cpython/pull/17107
python/cpython,PR,17099,corona10,bpo-22367: Add open_file_descriptor parameter to fcntl.lockf(),open,11/09/19 17:59:19,11/24/19 08:51:38,https://github.com/python/cpython/pull/17099
python/cpython,PR,17096,samtatasurya,bpo-38681: Enhance 2to3 conversion for blank line,open,11/09/19 08:52:29,11/21/19 05:41:29,https://github.com/python/cpython/pull/17096
python/cpython,PR,17093,ZackerySpytz,bpo-27465: Make IDLE help source menu entries unique and sorted,open,11/09/19 00:34:27,11/14/19 16:30:19,https://github.com/python/cpython/pull/17093
python/cpython,PR,17090,jpc,bpo-38743: configure: on darwin add CoreFoundation to flags before checking for gettext,open,11/08/19 14:36:52,11/08/19 14:36:57,https://github.com/python/cpython/pull/17090
python/cpython,PR,17082,liamFerris,bpo-2986: Allow disabling difflib's automatic junk heuristic,open,11/07/19 19:24:51,11/21/19 05:44:18,https://github.com/python/cpython/pull/17082
python/cpython,PR,17062,Seluj78,bpo-38495: Updated functions.rst: Clearer *sep* and *end* defaults explanation ,open,11/05/19 17:23:04,11/20/19 01:28:30,https://github.com/python/cpython/pull/17062
python/cpython,PR,17058,gpshead,bpo-38693: Use f-strings instead of str.format() within importlib,open,11/05/19 09:23:49,11/05/19 23:41:58,https://github.com/python/cpython/pull/17058
python/cpython,PR,17051,ZackerySpytz,"bpo-25522: IDLE ""Save As"" warnings",open,11/05/19 03:38:12,11/05/19 03:38:19,https://github.com/python/cpython/pull/17051
